브랜드,제품명,검색 순위,쿠팡 판매가,쿠팡 판매가 단위별 가격,와우 할인가,와우 할인가 단위별 가격,상품평 수
,국내산 닭가슴살 10kg. 1kg x 10 냉장,1,"55,000원",(100g당 550원),없음,,117개
올품,"올품 IQF 닭가슴살 1kg x 5봉, 1kg, 5개",2,"38,600원",(100g당 772원),없음,,952개
,"한강식품 IQF 무항생제 닭가슴살 (냉동), 1kg, 5개",3,"40,160원",(100g당 803원),없음,,"13,760개"
,"브린 껍질없는 닭가슴살, 5kg, 1개",4,"30,290원",(100g당 606원),없음,,937개
,"사계림 국내산 냉장 생닭가슴살 2kg포장, 14kg(2kg X..., 7개",5,"80,840원",(100g당 577원),없음,,54개
모디바,"모디바 국내산 냉동 닭가슴살 10kg (200gX50팩), 10kg, 50개",6,"77,800원",(100g당 778원),없음,,"3,762개"
,국내산 냉장 닭가슴살 10kg. 2kg x 5,7,"50,550원","(100g당 1,011원)","46,350원",(100g당 927원),136개
,[치킨테이블] 무항상제 닭 가슴살(S/L) 총10kg (1kg 포장) 냉동,8,"50,000원",,없음,,128개
,"사계림 국내산 냉장 생닭가슴살 2kg포장, 10kg(2kg X..., 5개",9,"58,430원",(100g당 584원),없음,,54개
하림IFF,"하림 IFF 닭가슴살 (냉동), 2kg, 1개",10,"19,930원",(100g당 997원),없음,,"91,399개"
모디바,"모디바 국내산 냉동 생닭가슴살 10KG (1kgX10Pack), 1kg, 10개",11,"67,500원",(100g당 675원),없음,,"3,762개"
,"치킨마켓 국내산 냉동 생닭가슴살10kg(1kg X 10팩), 1kg, 10개",12,"58,900원",(100g당 589원),없음,,263개
,"[브린] 국내산 신선냉장 닭가슴살 일반 대용량 (껍질없음), 5kg, 2개",13,"59,000원",(100g당 590원),없음,,937개
,바네푸드 냉동 닭가슴살 10kg (1kg x 10팩),14,"57,700원",(100g당 577원),없음,,836개
신선애,신선애 냉동 생 닭가슴살 5kg 100gx50팩,15,"52,500원","(100g당 1,050원)",없음,,69개
,"[치킨테이블]무항생제 닭가슴살 총10kg(1kg포장) 냉동, 냉동, 10개",16,"50,000원",,없음,,53개
목우촌,"목우촌 무항생제 인증 IQF 닭가슴살 (냉동), 1kg, 4개",17,"36,140원",(100g당 904원),"31,340원",(100g당 784원),"2,018개"
,"한강식품 IQF 무항생제 닭가슴살 (냉동), 1kg, 2개",18,"17,070원",(100g당 854원),없음,,"13,760개"
하림,"하림 IFF 가슴살, 1kg(1개), 6개",19,"57,900원",(100g당 965원),없음,,"6,006개"
올품,"올품 IQF 통 닭가슴살 1kg x 6봉, 1kg, 6개",20,"46,150원",(100g당 769원),없음,,952개
,"언니네 국내산 생 닭가슴살 200그램 25팩 (5kg) 100g당 700원, 200g, 25개",21,"44,020원",(100g당 880원),없음,,168개
하림IFF,"하림 IFF 닭가슴살 (냉동), 2kg, 2개",22,"38,660원",(100g당 967원),없음,,"91,399개"
신선애,신선애 냉동 생 닭가슴살 3kg 100gx30팩,23,"42,000원","(100g당 1,400원)","32,220원","(100g당 1,074원)",147개
,"무염 무첨가물 순수 닭가슴살 냉동, 500g, 10개",24,"39,820원",(100g당 796원),"30,870원",(100g당 617원),491개
모디바,"모디바 국내산 냉동 닭가슴살 (1kgX5팩) 5kg, 200g, 25개",25,"41,200원",,없음,,"3,762개"
,"한강식품 IQF 무항생제 닭가슴살 (냉동), 1kg, 4개",26,"32,450원",(100g당 811원),없음,,"13,760개"
,"자연의닭 냉장 닭가슴살(껍질없음), 5kg, 1개",27,"32,000원",(100g당 640원),"30,400원",(100g당 608원),"2,460개"
목우촌,"목우촌 무항생제 인증 IQF 닭가슴살 (냉동), 2kg, 2개",28,"39,180원",(100g당 980원),없음,,"2,018개"
모디바,"모디바 국내산 냉동 닭가슴살5kg 닭안심5kg, 1kg, 5개",29,"34,380원",,없음,,"3,762개"
,"브린 껍질없는 닭가슴살, 2kg, 1개",30,"14,700원",(100g당 735원),"13,960원",(100g당 698원),937개
자연실록,"하림 자연실록 무항생제 인증 닭가슴살 (냉장), 400g, 4팩",31,"19,680원","(100g당 1,230원)",없음,,"53,287개"
,"한강식품 IQF 무항생제 닭가슴살 (냉동), 1kg, 1개",32,"8,800원",(100g당 880원),없음,,"13,760개"
자연실록,"하림 자연실록 무항생제 인증 닭가슴살 (냉장), 400g, 2팩",33,"11,490원","(100g당 1,436원)",없음,,"53,287개"
자연실록,"하림 자연실록 무항생제 인증 닭가슴살 (냉장), 400g, 1개",34,"6,030원","(100g당 1,508원)",없음,,"53,287개"
올품,"올품 IQF 통 닭가슴살 1kg x 2봉, 1kg, 2개",35,"17,900원",(100g당 895원),없음,,952개
,"한강식품 IQF 무항생제 닭가슴살 (냉동), 1kg, 3개",36,"25,090원",(100g당 836원),없음,,"13,760개"
목우촌,"목우촌 무항생제 인증 IQF 닭가슴살 (냉동), 1kg, 1개",37,"9,800원",(100g당 980원),"8,600원",(100g당 860원),"2,018개"
,"풀토래_신선냉장 닭가슴살_국내산, 5kg, 1개",38,"31,910원",(100g당 638원),"31,270원",(100g당 625원),"9,899개"
자연실록,"하림 자연실록 무항생제 인증 닭가슴살 (냉장), 400g, 3개",39,"14,760원","(100g당 1,230원)",없음,,"53,287개"
,두메산골 두메산골 당일손질 냉장 닭가슴살1kg+1kg,40,"14,440원",,없음,,39개
올품,"올품 IQF 닭가슴살 슬라이스 1kg 3봉, 1kg, 3개",41,"26,340원",(100g당 878원),없음,,"4,017개"
,하림 IFF 냉동 무항생제 닭가슴살 1kg x 3봉,42,"26,540원",(100g당 885원),"25,210원",(100g당 840원),92개
gomgom,"곰곰 1등급 닭가슴살 (냉장), 1kg, 1개",43,"11,460원","(100g당 1,146원)",없음,,"3,474개"
,"풀토래_신선냉장 닭가슴살_국내산, 2kg, 1개",44,"15,680원",(100g당 784원),"15,360원",(100g당 768원),"9,899개"
,"사계림 국내산 냉장 생닭가슴살, 4kg (2kg x..., 2개",45,"26,360원",(100g당 659원),없음,,54개
,"자연의닭 냉장 닭가슴살(껍질없음), 2kg, 1개",46,"11,000원",,없음,,"2,460개"
모디바,"모디바 국내산 냉동 닭가슴살 (500gX4팩) 2KG, 500g, 4개",47,"21,500원","(100g당 1,075원)","18,000원",(100g당 900원),"3,762개"
마니커,"마니커 IQF 닭고기 가슴살 (냉동), 3kg, 1개",48,"29,700원",(100g당 990원),"28,200원",(100g당 940원),"27,978개"
,"모던푸드 국내산 냉동 닭가슴살 1kg 무염 생닭가슴살, 1kg, 1개",49,"5,700원",,없음,,57개
,"참프레 동물복지 인증 IQF 닭가슴살 (냉동), 1kg, 2개",50,"19,200원",(100g당 960원),없음,,95개
